Time (s),ECG,HR GT
2.4125,1272,N/A
2.4150,1280,N/A
2.4175,1352,N/A
2.4200,1417,N/A
2.4225,1421,N/A
2.4250,1376,N/A
2.4275,1320,N/A
2.4300,1264,N/A
2.4325,1226,N/A
2.4350,1244,N/A
2.4375,1290,N/A
2.4400,1317,N/A
2.4425,1312,N/A
2.4450,1292,N/A
2.4475,1267,N/A
2.4500,1245,N/A
2.4525,1248,N/A
2.4550,1229,N/A
2.4575,1248,N/A
2.4600,1313,N/A
2.4625,1432,N/A
2.4650,1540,N/A
2.4675,1600,N/A
2.4700,1592,N/A
2.4725,1548,N/A
2.4750,1514,N/A
2.4775,1442,N/A
2.4800,1333,N/A
2.4825,1240,N/A
2.4850,1161,N/A
2.4875,1096,N/A
2.4900,1051,N/A
2.4925,1027,N/A
2.4950,1024,N/A
2.4975,1057,N/A
2.5000,1144,N/A
2.5025,1320,N/A
2.5050,1458,N/A
2.5075,1488,N/A
2.5100,1450,N/A
2.5125,1372,N/A
2.5150,1285,N/A
2.5175,1171,N/A
2.5200,1072,N/A
2.5225,1036,N/A
2.5250,1048,N/A
2.5275,1080,N/A
2.5300,1113,N/A
2.5325,1156,N/A
2.5350,1200,N/A
2.5375,1190,N/A
2.5400,1132,N/A
2.5425,1152,N/A
2.5450,1318,N/A
2.5475,1584,N/A
2.5500,1737,N/A
2.5525,1664,N/A
2.5550,1416,N/A
2.5575,1144,N/A
2.5600,968,N/A
2.5625,944,N/A
2.5650,996,N/A
2.5675,1062,N/A
2.5700,1131,N/A
2.5725,1170,N/A
2.5750,1221,N/A
2.5775,1228,N/A
2.5800,1269,N/A
2.5825,1328,N/A
2.5850,1366,N/A
2.5875,1345,N/A
2.5900,1301,N/A
2.5925,1252,N/A
2.5950,1232,N/A
2.5975,1228,N/A
2.6000,1250,N/A
2.6025,1284,N/A
2.6050,1284,N/A
2.6075,1288,N/A
2.6100,1252,N/A
2.6125,1216,N/A
2.6150,1216,N/A
2.6175,1176,N/A
2.6200,1170,N/A
2.6225,1209,N/A
2.6250,1280,N/A
2.6275,1328,N/A
2.6300,1306,N/A
2.6325,1210,N/A
2.6350,1096,N/A
2.6375,1024,N/A
2.6400,969,N/A
2.6425,941,N/A
2.6450,993,N/A
2.6475,1104,N/A
2.6500,1232,N/A
2.6525,1332,N/A
2.6550,1416,N/A
2.6575,1472,N/A
2.6600,1488,N/A
2.6625,1476,N/A
2.6650,1400,N/A
2.6675,1280,N/A
2.6700,1157,N/A
2.6725,1061,N/A
2.6750,1001,N/A
2.6775,992,N/A
2.6800,1040,N/A
2.6825,1133,N/A
2.6850,1189,N/A
2.6875,1188,N/A
2.6900,1186,N/A
2.6925,1274,N/A
2.6950,1372,N/A
2.6975,1426,N/A
2.7000,1413,N/A
2.7025,1344,N/A
2.7050,1240,N/A
2.7075,1144,N/A
2.7100,1088,N/A
2.7125,1104,N/A
2.7150,1140,N/A
2.7175,1204,N/A
2.7200,1280,N/A
2.7225,1321,N/A
2.7250,1397,N/A
2.7275,1493,N/A
2.7300,1562,N/A
2.7325,1576,N/A
2.7350,1520,N/A
2.7375,1416,N/A
2.7400,1288,N/A
2.7425,1173,N/A
2.7450,1110,N/A
2.7475,1083,N/A
2.7500,1125,N/A
2.7525,1250,N/A
2.7550,1316,N/A
2.7575,1312,N/A
2.7600,1280,N/A
2.7625,1235,N/A
2.7650,1226,N/A
2.7675,1224,N/A
2.7700,1249,N/A
2.7725,1306,N/A
2.7750,1369,N/A
2.7775,1460,N/A
2.7800,1573,N/A
2.7825,1685,N/A
2.7850,1797,N/A
2.7875,1952,N/A
2.7900,2138,N/A
2.7925,2336,N/A
2.7950,2484,N/A
2.7975,2596,N/A
2.8000,2640,N/A
2.8025,2592,N/A
2.8050,2536,N/A
2.8075,2467,N/A
2.8100,2400,N/A
2.8125,2356,N/A
2.8150,2344,N/A
2.8175,2344,N/A
2.8200,2400,N/A
2.8225,2432,N/A
2.8250,2400,N/A
2.8275,2336,N/A
2.8300,2280,N/A
