Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
1.2050,29255,31674,68,859,34.14,30.38,97
1.2075,29238,31624,106,760,34.14,30.38,97
1.2100,29249,31647,110,908,34.14,30.38,97
1.2125,29241,31662,81,1019,34.14,30.38,97
1.2150,29245,31680,65,1016,34.14,30.38,97
1.2175,29244,31666,75,1273,34.14,30.38,97
1.2200,29231,31669,82,982,34.14,30.38,97
1.2225,29213,31645,86,982,34.14,30.38,97
1.2250,29202,31653,114,485,34.14,30.38,97
1.2275,29272,31697,94,987,34.14,30.38,97
1.2300,29209,31669,76,880,34.14,30.38,97
1.2325,29232,31642,58,1033,34.14,30.38,97
1.2350,29228,31648,74,1020,34.14,30.38,97
1.2375,29229,31658,70,1139,34.14,30.38,97
1.2400,29234,31673,116,1162,34.14,30.38,97
1.2425,29233,31666,119,929,34.14,30.38,97
1.2450,29246,31655,102,842,34.14,30.38,97
1.2475,29251,31662,66,728,34.14,30.38,97
1.2500,29202,31691,94,819,34.14,30.38,97
1.2525,29188,31694,78,979,34.14,30.38,97
1.2550,29211,31670,79,1004,34.14,30.38,97
1.2575,29229,31632,98,1193,34.14,30.38,97
1.2600,29218,31623,82,1110,34.14,30.38,97
1.2625,29212,31641,70,896,34.14,30.38,97
1.2650,29236,31621,79,832,34.14,30.38,97
1.2675,29229,31612,82,736,34.14,30.38,97
1.2700,29222,31612,85,819,34.14,30.38,97
1.2725,29187,31591,79,992,34.14,30.38,97
1.2750,29153,31599,82,995,34.14,30.38,97
1.2775,29164,31572,81,1216,34.14,30.38,97
1.2800,29167,31546,110,1044,34.14,30.38,97
1.2825,29166,31505,112,864,34.14,30.38,97
1.2850,29147,31476,94,856,34.14,30.38,97
1.2875,29140,31475,92,760,34.14,30.38,97
1.2900,29127,31461,64,890,34.14,30.38,97
1.2925,29108,31429,72,1041,34.14,30.38,97
1.2950,29122,31397,78,993,34.14,30.38,97
1.2975,29098,31394,82,1233,34.14,30.38,97
1.3000,29090,31393,76,1008,34.14,30.38,97
1.3025,29077,31389,96,888,34.14,30.38,97
1.3050,29092,31314,85,880,34.14,30.38,97
1.3075,29096,31266,99,819,34.14,30.38,97
1.3100,29068,31246,103,940,34.14,30.38,97
1.3125,29089,31233,93,1016,34.14,30.38,97
1.3150,29058,31229,80,1009,34.14,30.38,97
1.3175,29038,31217,63,1267,34.14,30.38,97
1.3200,29024,31175,80,966,34.14,30.38,97
1.3225,29008,31161,90,966,34.14,30.38,97
1.3250,28993,31137,111,483,34.14,30.38,97
1.3275,29251,31662,66,501,34.14,30.38,97
1.3300,29202,31691,94,1117,34.14,30.38,97
1.3325,28938,31112,74,1160,34.14,30.38,97
1.3350,28946,31077,66,1088,34.14,30.38,97
1.3375,28972,31023,84,1240,34.14,30.38,97
1.3400,28943,31038,90,1109,34.14,30.38,97
1.3425,28957,31039,88,945,34.14,30.38,97
1.3450,28951,31040,95,856,34.14,30.38,97
1.3475,28947,31011,114,785,34.14,30.38,97
1.3500,28943,31004,89,822,34.14,30.38,97
